Token file dump for '/aramis/Data/Source/Mondial/tokens'
Generated on 2002-12-15 12:24:29.068

tokenCount    = 12126
instanceCount = 588662
(' ', count=307308, hclen=1)
('Lake', count=65, hclen=13)
('461', count=64, hclen=13)
('de', count=64, hclen=13)
('07', count=63, hclen=13)
('21', count=63, hclen=13)
('553', count=63, hclen=13)
('1087', count=62, hclen=13)
('32', count=62, hclen=13)
('34', count=62, hclen=13)
('36', count=62, hclen=13)
('58', count=62, hclen=13)
('119', count=61, hclen=13)
('1269', count=61, hclen=13)
('26', count=61, hclen=13)
('300', count=61, hclen=13)
('86', count=61, hclen=13)
('85', count=60, hclen=13)
('and', count=60, hclen=13)
('1231', count=59, hclen=13)
('1319', count=59, hclen=13)
('44', count=59, hclen=13)
('48', count=59, hclen=13)
('649', count=59, hclen=13)
('80', count=59, hclen=13)
('Protestant', count=59, hclen=13)
('801', count=58, hclen=13)
('83', count=58, hclen=13)
('99', count=58, hclen=13)
('Christian', count=58, hclen=13)
('1302', count=57, hclen=13)
('132', count=57, hclen=13)
('03', count=56, hclen=13)
('1258', count=56, hclen=13)
('1754', count=56, hclen=13)
('29', count=56, hclen=13)
('519', count=56, hclen=13)
('618', count=56, hclen=13)
('68', count=56, hclen=13)
('126', count=55, hclen=13)
('1353', count=55, hclen=13)
('1427', count=55, hclen=13)
('533', count=55, hclen=13)
('684', count=55, hclen=13)
('76', count=55, hclen=13)
('789', count=55, hclen=13)
('92', count=55, hclen=13)
('123', count=54, hclen=13)
('375', count=54, hclen=13)
('52', count=54, hclen=13)
('88', count=54, hclen=13)
('04', count=53, hclen=13)
('1189', count=53, hclen=13)
('1264', count=53, hclen=13)
('1432', count=53, hclen=13)
('1991', count=53, hclen=13)
('263', count=53, hclen=13)
('644', count=53, hclen=13)
('978', count=53, hclen=13)
('1848', count=52, hclen=13)
('1940', count=52, hclen=13)
('295', count=52, hclen=13)
('852', count=52, hclen=13)
('1067', count=51, hclen=13)
('1275', count=51, hclen=13)
('1455', count=51, hclen=13)
('560', count=51, hclen=13)
('629', count=51, hclen=13)
('1280', count=50, hclen=13)
('1324', count=50, hclen=13)
('1422', count=50, hclen=13)
('174', count=50, hclen=13)
('1976', count=50, hclen=13)
('59', count=50, hclen=13)
('64', count=50, hclen=13)
('75', count=50, hclen=13)
('760', count=50, hclen=13)
('oblast', count=50, hclen=13)
('1032', count=49, hclen=13)
('1179', count=49, hclen=13)
('1216', count=49, hclen=13)
('1226', count=49, hclen=13)
('258', count=49, hclen=13)
('San', count=49, hclen=13)
('1236', count=48, hclen=14)
('136', count=48, hclen=14)
('1845', count=48, hclen=14)
('902', count=48, hclen=14)
('02', count=47, hclen=14)
('1364', count=47, hclen=14)
('49', count=47, hclen=14)
('575', count=47, hclen=14)
('62', count=47, hclen=14)
('656', count=47, hclen=14)
